match_id,season_id,date,home_team_id,away_team_id,goal_home_ft,goal_away_ft
407,2,2011-12-05,5,2,1,0
408,2,2012-02-06,2,12,0,0
409,2,2012-05-07,6,18,0,1
410,2,2012-04-09,15,4,1,1
411,2,2012-04-09,16,8,4,0
412,2,2012-04-09,5,20,1,1
413,2,2012-04-09,17,9,2,0
414,2,2012-04-09,12,23,1,2
415,2,2011-10-01,15,18,2,0
416,2,2011-10-01,6,7,0,4
417,2,2011-10-01,16,2,0,2
418,2,2011-10-01,3,23,2,0
419,2,2011-10-01,8,13,2,2
420,2,2011-10-01,19,17,1,2
421,2,2011-12-10,10,16,1,0
422,2,2011-12-10,9,15,1,2
423,2,2011-12-10,2,22,1,0
424,2,2011-12-10,3,19,4,1
425,2,2011-12-10,23,17,4,2
426,2,2011-12-10,21,5,2,0
427,2,2011-12-10,13,18,1,2
428,2,2012-03-10,15,5,1,0
429,2,2012-03-10,9,22,2,1
430,2,2012-03-10,20,4,1,0
431,2,2012-03-10,16,12,1,0
432,2,2012-03-10,8,2,1,0
433,2,2012-03-10,19,6,0,2
434,2,2011-09-10,10,21,1,0
435,2,2011-09-10,9,3,0,5
436,2,2011-09-10,16,15,2,2
437,2,2011-09-10,7,18,3,0
438,2,2011-09-10,4,2,1,0
439,2,2011-09-10,8,20,1,2
440,2,2011-09-10,19,12,0,2
441,2,2012-02-11,6,22,3,2
442,2,2012-02-11,9,18,1,2
443,2,2012-02-11,16,20,2,0
444,2,2012-02-11,5,4,2,1
445,2,2012-02-11,3,2,2,1
446,2,2012-02-11,8,10,1,2
447,2,2012-02-11,21,23,2,3
448,2,2012-02-11,12,17,5,0
449,2,2011-08-13,6,19,1,2
450,2,2011-08-13,5,15,0,0
451,2,2011-08-13,2,8,1,1
452,2,2011-08-13,17,10,0,0
453,2,2011-08-13,22,9,0,4
454,2,2011-08-13,18,23,1,1
455,2,2012-04-14,23,7,1,6
456,2,2012-04-14,8,19,0,0
457,2,2012-04-14,21,6,3,0
458,2,2012-04-14,13,22,1,0
459,2,2012-01-14,15,16,1,1
460,2,2012-01-14,6,5,3,1
461,2,2012-01-14,20,8,1,0
462,2,2012-01-14,2,4,0,0
463,2,2012-01-14,3,9,3,0
464,2,2012-01-14,12,19,1,1
465,2,2012-01-14,13,23,1,2
466,2,2011-10-15,20,16,3,1
467,2,2011-10-15,2,3,1,1
468,2,2011-10-15,7,15,4,1
469,2,2011-10-15,23,21,3,1
470,2,2011-10-15,22,6,1,1
471,2,2011-10-15,4,5,2,0
472,2,2011-10-15,18,9,1,3
473,2,2011-12-17,6,13,1,2
474,2,2011-12-17,16,23,1,1
475,2,2011-12-17,5,9,2,0
476,2,2011-12-17,17,21,0,0
477,2,2011-12-17,18,20,1,1
478,2,2011-12-17,19,4,1,2
479,2,2012-03-17,5,21,0,3
480,2,2012-03-17,18,13,1,1
481,2,2011-09-17,15,17,1,1
482,2,2011-09-17,6,10,4,3
483,2,2011-09-17,9,23,1,2
484,2,2011-09-17,16,18,3,1
485,2,2011-09-17,21,13,3,0
486,2,2011-09-17,19,22,0,3
487,2,2011-11-19,16,19,2,1
488,2,2011-11-19,7,17,3,1
489,2,2011-11-19,23,10,1,2
490,2,2011-11-19,4,22,2,3
491,2,2011-11-19,8,5,0,0
492,2,2011-11-19,21,3,0,1
493,2,2011-11-19,13,9,2,1
494,2,2011-11-19,18,6,3,3
495,2,2011-08-20,10,2,0,2
496,2,2011-08-20,15,6,3,1
497,2,2011-08-20,20,13,2,1
498,2,2011-08-20,16,22,0,1
499,2,2011-08-20,8,17,0,1
